Recording,10830mWh
Current Setpoint,1000
Low Voltage Stop,2900
Seconds, Voltage, Current, mAh, mWh
0.5689887,4.269,1022,0.117,0.499
1.5624974,4.27,1000,0.395,1.686
2.570147,4.27,999,0.673,2.871
3.5633263,4.267,999,0.951,4.056
4.555279,4.265,1000,1.228,5.24
5.5644083,4.268,1000,1.506,6.424
6.5572303,4.265,999,1.784,7.608
7.5658558,4.263,999,2.062,8.792
8.5582063,4.263,999,2.34,9.975
9.5509558,4.263,999,2.617,11.158
10.5589248,4.261,999,2.895,12.341
11.553567,4.259,999,3.17,13.512
12.5608599,4.259,999,3.451,14.706
13.5528129,4.259,1000,3.728,15.887
14.5450723,4.255,999,4.006,17.069
15.5540443,4.255,999,4.284,18.25
16.5462465,4.255,999,4.562,19.431
17.5552321,4.255,999,4.84,20.612
18.5477367,4.253,999,5.117,21.793
19.5567058,4.253,999,5.395,22.974
20.5494385,4.253,999,5.673,24.154
21.5414715,4.251,999,5.951,25.335
22.5503542,4.25,999,6.228,26.515
23.5427945,4.251,1000,6.506,27.695
24.5523811,4.25,1000,6.784,28.875
25.5441032,4.251,999,7.062,30.055
26.5365842,4.25,999,7.34,31.235
27.5453385,4.25,999,7.617,32.414
28.5377097,4.25,999,7.895,33.594
29.5459589,4.248,1000,8.173,34.774
30.5396087,4.25,1000,8.451,35.953
31.5503439,4.25,999,8.728,37.132
32.5397384,4.25,999,9.006,38.312
33.532691,4.248,1000,9.284,39.491
34.54066,4.248,1000,9.562,40.671
35.5335773,4.248,999,9.84,41.85
36.5423851,4.248,1000,10.117,43.029
37.5353332,4.248,999,10.395,44.208
38.5270334,4.248,999,10.673,45.387
39.536166,4.248,999,10.953,46.578
40.5289568,4.246,999,11.228,47.745
41.5369252,4.248,999,11.506,48.924
42.5298821,4.246,999,11.784,50.102
43.5228361,4.246,999,12.062,51.281
44.5308227,4.246,999,12.34,52.46
45.5231698,4.248,999,12.617,53.639
46.5325345,4.246,1000,12.895,54.817
47.5246315,4.246,999,13.173,55.996
48.5329439,4.246,999,13.451,57.174
49.5262361,4.246,999,13.728,58.353
50.5188997,4.246,999,14.006,59.531
51.5272387,4.246,999,14.284,60.71
52.5194839,4.246,999,14.562,61.889
53.5276958,4.246,999,14.84,63.067
54.5206504,4.246,999,15.117,64.246
55.5136246,4.244,999,15.395,65.424
56.5223366,4.246,999,15.673,66.603
57.5150224,4.246,999,15.951,67.781
58.5228005,4.244,999,16.229,68.96
59.5154127,4.244,999,16.506,70.138
60.5086525,4.244,999,16.784,71.317
61.5174865,4.246,999,17.062,72.495
62.5099132,4.244,999,17.34,73.673
63.5188439,4.246,999,17.617,74.851
64.5105708,4.246,1000,17.895,76.03
65.5216724,4.246,999,18.173,77.208
66.5116603,4.246,999,18.451,78.386
67.5043998,4.246,999,18.728,79.564
68.5135993,4.246,999,19.006,80.743
69.5057242,4.244,1000,19.284,81.921
70.5143548,4.244,1000,19.562,83.099
71.5074269,4.244,999,19.84,84.277
72.4994055,4.244,1000,20.117,85.455
73.5085396,4.244,999,20.395,86.633
74.5011531,4.244,999,20.673,87.811
75.5091281,4.244,999,20.951,88.99
76.5021419,4.244,999,21.228,90.168
77.4946354,4.246,999,21.506,91.346
78.5034483,4.244,1000,21.784,92.524
79.4962035,4.244,1000,22.062,93.702
80.5051479,4.242,999,22.337,94.868
81.4974659,4.244,999,22.617,96.057
82.4896488,4.244,999,22.895,97.235
83.4982822,4.242,999,23.173,98.413
84.4915361,4.242,999,23.451,99.591
85.499862,4.244,1000,23.728,100.769
86.4918148,4.244,999,24.006,101.947
87.48477,4.242,999,24.284,103.124
88.4937396,4.242,1000,24.562,104.302
89.4856924,4.244,999,24.84,105.48
90.4945944,4.244,1000,25.117,106.658
91.4875487,4.242,999,25.395,107.835
92.4955171,4.244,1000,25.673,109.013
93.488472,4.242,999,25.951,110.191
94.4814257,4.242,999,26.228,111.368
95.4905288,4.242,999,26.506,112.546
96.4824819,4.244,999,26.784,113.723
97.4914516,4.242,999,27.062,114.901
98.4846917,4.242,999,27.342,116.09
99.4766471,4.242,999,27.617,117.256
100.4846138,4.242,1000,27.895,118.433
101.4775675,4.242,1000,28.173,119.61
102.4865386,4.24,1000,28.451,120.787
103.4792463,4.242,1000,28.728,121.965
104.4711997,4.242,999,29.006,123.142
105.4801699,4.24,1000,29.284,124.319
106.4721227,4.24,1000,29.562,125.496
107.4811387,4.24,999,29.84,126.673
108.4740936,4.24,1000,30.117,127.85
109.4668283,4.238,999,30.395,129.027
110.4747393,4.24,999,30.673,130.204
111.467693,4.24,999,30.951,131.381
112.4756615,4.24,999,31.228,132.557
113.4686169,4.238,999,31.506,133.734
114.4615701,4.24,1000,31.784,134.911
115.4695399,4.238,1000,32.062,136.087
116.4624939,4.238,999,32.34,137.264
117.4714645,4.24,1000,32.617,138.44
118.4634164,4.24,999,32.895,139.617
119.4723866,4.238,999,33.173,140.793
120.4653412,4.236,999,33.451,141.969
121.4572985,4.238,1000,33.728,143.146
122.4662685,4.238,999,34.006,144.322
123.4592222,4.236,1000,34.284,145.498
124.4672644,4.236,999,34.562,146.674
125.4602184,4.238,999,34.84,147.85
126.4524655,4.236,999,35.117,149.026
127.4614352,4.235,999,35.395,150.202
128.4533886,4.238,999,35.673,151.378
129.4623585,4.236,1000,35.951,152.554
130.4553128,4.235,999,36.228,153.729
131.4477523,4.235,999,36.506,154.905
132.4567223,4.236,999,36.784,156.081
133.4491424,4.235,999,37.062,157.256
134.4576402,4.233,999,37.34,158.431
135.4495935,4.235,999,37.617,159.607
136.4425478,4.235,1000,37.895,160.782
137.4514876,4.235,999,38.173,161.958
138.4434412,4.231,999,38.451,163.133
139.4524104,4.235,999,38.729,164.308
140.4453647,4.235,1000,39.006,165.483
141.438305,4.231,999,39.284,166.658
142.446662,4.231,999,39.562,167.833
143.439616,4.233,999,39.84,169.008
144.4478712,4.233,999,40.117,170.183
145.4398239,4.229,999,40.395,171.357
146.4330223,4.231,999,40.673,172.532
147.4413315,4.233,999,40.951,173.706
148.433759,4.231,999,41.229,174.881
149.4427788,4.227,999,41.506,176.055
150.4347298,4.231,999,41.784,177.229
151.4278997,4.231,999,42.062,178.403
152.4358642,4.229,999,42.34,179.577
153.4288182,4.227,999,42.617,180.751
154.4377879,4.231,1000,42.895,181.925
155.4297452,4.229,1000,43.173,183.099
156.439034,4.227,999,43.451,184.272
157.4317764,4.227,999,43.731,185.458
158.4237295,4.229,999,44.006,186.619
159.4327006,4.227,999,44.284,187.793
160.425654,4.227,999,44.562,188.966
161.4336219,4.227,1000,44.84,190.139
162.4265765,4.227,1000,45.117,191.312
163.418531,4.225,999,45.395,192.486
164.4275001,4.225,999,45.673,193.659
165.4204541,4.225,999,45.951,194.831
166.4284234,4.225,999,46.229,196.004
167.4214283,4.223,999,46.506,197.177
168.4141548,4.225,999,46.784,198.35
169.4226918,4.225,999,47.062,199.522
170.4156464,4.225,999,47.34,200.695
171.4236151,4.223,999,47.617,201.867
172.4165697,4.223,999,47.895,203.039
173.4092023,4.223,999,48.173,204.212
174.417171,4.221,999,48.451,205.384
175.4101259,4.221,999,48.729,206.556
176.4190953,4.223,999,49.006,207.728
177.4110481,4.221,999,49.284,208.9
178.4040029,4.221,999,49.562,210.072
179.4122228,4.221,999,49.84,211.244
180.4051771,4.221,999,50.117,212.415
181.4141468,4.221,1000,50.395,213.587
182.4060993,4.221,1000,50.673,214.759
183.3994359,4.223,999,50.951,215.93
184.4074057,4.221,999,51.229,217.102
185.4003603,4.221,999,51.506,218.274
186.4083276,4.22,999,51.784,219.445
187.4012814,4.22,999,52.062,220.617
188.3935428,4.22,999,52.34,221.788
189.402513,4.22,1000,52.617,222.96
190.3949971,4.22,999,52.895,224.131
191.40377,4.22,1000,53.173,225.302
192.3967243,4.22,1000,53.451,226.474
193.3886782,4.22,1000,53.729,227.645
194.3976481,4.22,999,54.006,228.816
195.3906016,4.22,999,54.284,229.987
196.398605,4.22,999,54.562,231.159
197.391559,4.22,999,54.84,232.33
198.3844906,4.22,999,55.117,233.501
199.3927662,4.218,1000,55.395,234.672
200.3857205,4.218,1000,55.673,235.843
201.3936935,4.218,999,55.951,237.013
202.3866492,4.218,999,56.229,238.184
203.3806051,4.216,999,56.506,239.355
204.3882407,4.218,1000,56.784,240.526
205.3807797,4.218,999,57.062,241.697
206.3887479,4.218,1000,57.34,242.867
207.3817013,4.218,999,57.617,244.038
208.3746565,4.216,1000,57.895,245.209
209.3826249,4.216,999,58.173,246.379
210.3755789,4.218,999,58.451,247.55
211.3845486,4.216,999,58.729,248.721
212.3765022,4.218,999,59.006,249.891
213.3694562,4.216,1000,59.284,251.062
214.3784268,4.218,999,59.562,252.232
215.3703795,4.216,999,59.84,253.403
216.3790318,4.218,999,60.117,254.573
217.3715967,4.216,999,60.392,255.732
218.3645515,4.216,1000,60.673,256.914
219.3735204,4.216,999,60.951,258.085
220.3654737,4.216,1000,61.229,259.255
221.3741854,4.216,999,61.506,260.425
