Recording,10830mWh
Current Setpoint,1500
Low Voltage Stop,3300
Seconds, Voltage, Current, mAh, mWh
131.8558141,4.193,1500,54.938,231.154
132.8481028,4.193,1500,55.355,232.901
133.8568289,4.193,1500,55.772,234.648
134.8489226,4.193,1499,56.188,236.394
135.8419068,4.193,1499,56.609,238.158
136.8499417,4.193,1501,57.022,239.886
137.8429237,4.193,1499,57.438,241.632
138.8355822,4.191,1500,57.855,243.378
139.8442694,4.191,1500,58.272,245.123
140.8359844,4.191,1499,58.688,246.869
141.8457416,4.189,1499,59.105,248.614
142.837734,4.189,1499,59.522,250.359
143.8309156,4.189,1499,59.938,252.104
144.838874,4.189,1500,60.355,253.849
145.8310695,4.189,1499,60.772,255.593
146.839846,4.187,1499,61.188,257.338
147.8328871,4.187,1500,61.605,259.082
148.8254512,4.187,1500,62.022,260.826
149.8336656,4.187,1500,62.438,262.57
150.8259606,4.185,1500,62.855,264.313
151.8348862,4.185,1500,63.272,266.057
152.8268873,4.185,1500,63.688,267.8
153.8198545,4.185,1499,64.105,269.544
154.8279856,4.185,1500,64.522,271.287
155.8202149,4.185,1498,64.938,273.03
156.8298873,4.183,1499,65.355,274.772
157.8221479,4.183,1500,65.772,276.514
158.8151691,4.183,1500,66.188,278.257
159.823441,4.183,1499,66.605,279.999
160.8158529,4.183,1499,67.022,281.741
161.8235866,4.181,1500,67.438,283.483
162.8170234,4.181,1500,67.855,285.224
163.8088809,4.181,1500,68.272,286.966
164.8181114,4.181,1499,68.688,288.707
165.8103185,4.179,1499,69.105,290.448
166.8028798,4.181,1499,69.522,292.189
167.8121014,4.18,1501,69.938,293.93
168.8044092,4.18,1500,70.355,295.671
169.8125343,4.179,1499,70.772,297.412
170.805101,4.18,1500,71.188,299.152
171.7975846,4.178,1499,71.605,300.893
172.8070798,4.179,1499,72.022,302.633
173.7992042,4.178,1500,72.438,304.374
174.807746,4.178,1498,72.855,306.114
175.8003109,4.176,1500,73.272,307.854
176.7929351,4.176,1499,73.688,309.594
177.8011469,4.176,1497,74.105,311.333
178.7939013,4.176,1501,74.522,313.073
179.8020364,4.176,1500,74.938,314.813
180.7949299,4.178,1499,75.355,316.552
181.7878566,4.176,1500,75.772,318.292
182.7966937,4.176,1500,76.188,320.031
183.7889685,4.176,1500,76.605,321.77
184.7969309,4.176,1499,77.022,323.509
185.7899131,4.176,1499,77.438,325.248
186.7819342,4.176,1500,77.855,326.987
187.7913578,4.176,1499,78.272,328.726
188.7838872,4.174,1501,78.688,330.465
189.7919153,4.174,1499,79.105,332.203
190.7852124,4.174,1498,79.522,333.942
191.7779913,4.174,1500,79.938,335.681
192.7862006,4.174,1499,80.355,337.419
193.7789624,4.174,1500,80.772,339.158
194.7713794,4.174,1499,81.192,340.914
195.7799229,4.174,1500,81.605,342.635
196.7724065,4.174,1500,82.022,344.373
197.780968,4.174,1499,82.438,346.111
198.7738887,4.174,1500,82.855,347.849
199.7662022,4.172,1501,83.272,349.587
200.77533,4.172,1500,83.688,351.325
201.7669185,4.174,1499,84.105,353.063
202.7758963,4.172,1500,84.522,354.801
203.7688899,4.172,1499,84.938,356.539
204.7612381,4.172,1499,85.355,358.277
205.7697017,4.172,1500,85.772,360.014
206.7628808,4.172,1499,86.188,361.752
207.7708981,4.172,1500,86.605,363.49
208.7634135,4.172,1500,87.022,365.228
209.7559244,4.172,1500,87.438,366.965
210.7649362,4.172,1499,87.855,368.703
211.7571632,4.17,1499,88.272,370.44
212.7652718,4.172,1500,88.688,372.178
213.7579915,4.172,1498,89.105,373.915
214.7508932,4.17,1500,89.522,375.653
215.7590536,4.17,1498,89.938,377.39
216.7519838,4.172,1499,90.355,379.128
217.7449026,4.172,1498,90.772,380.865
218.753218,4.172,1500,91.188,382.602
219.7457183,4.17,1500,91.605,384.34
220.7548922,4.172,1499,92.022,386.077
221.746909,4.17,1500,92.438,387.814
222.7399109,4.17,1500,92.855,389.551
223.7481429,4.17,1499,93.272,391.288
224.7409855,4.172,1500,93.688,393.025
225.7492901,4.17,1499,94.105,394.763
226.7420689,4.172,1499,94.522,396.5
227.7349695,4.17,1499,94.938,398.237
228.7432923,4.17,1500,95.355,399.974
229.7358905,4.17,1499,95.772,401.711
230.7439201,4.17,1499,96.188,403.448
231.7368511,4.17,1500,96.605,405.185
232.7300051,4.17,1498,97.022,406.921
233.7379306,4.17,1499,97.438,408.658
234.7303101,4.17,1499,97.855,410.395
235.7389085,4.17,1500,98.272,412.132
236.7318967,4.17,1500,98.688,413.868
237.7247151,4.17,1500,99.105,415.605
238.7330154,4.17,1500,99.517,417.324
